,YEAR,ALARM_DATE,GIS_ACRES,CAUSE,MONTH,DAY,MONTH_NAME
1314,2008,2008-06-21 00:00:00,7513.306,1 - Lightning,6,173,Jun
1094,2005,2005-06-22 00:00:00,63771.41,1 - Lightning,6,173,Jun
1310,2008,2008-06-21 00:00:00,444.7132,1 - Lightning,6,173,Jun
1309,2008,2008-06-21 00:00:00,4465.681,1 - Lightning,6,173,Jun
1306,2008,2008-06-21 00:00:00,327.0164,1 - Lightning,6,173,Jun
1324,2008,2008-06-21 00:00:00,481.0017,1 - Lightning,6,173,Jun
1885,2015,2015-06-22 00:00:00,164.7058,1 - Lightning,6,173,Jun
1317,2008,2008-06-21 00:00:00,1852.74,1 - Lightning,6,173,Jun
1340,2008,2008-06-21 00:00:00,3416.724,1 - Lightning,6,173,Jun
1392,2008,2008-06-21 00:00:00,231.1609,1 - Lightning,6,173,Jun
1371,2008,2008-06-21 00:00:00,10389.64,1 - Lightning,6,173,Jun
1391,2008,2008-06-21 00:00:00,17552.39,1 - Lightning,6,173,Jun
1373,2008,2008-06-21 00:00:00,14728.5,1 - Lightning,6,173,Jun
1374,2008,2008-06-21 00:00:00,8021.854,1 - Lightning,6,173,Jun
1376,2008,2008-06-21 00:00:00,1885.691,1 - Lightning,6,173,Jun
1384,2008,2008-06-21 00:00:00,30660.02,1 - Lightning,6,173,Jun
1377,2008,2008-06-21 00:00:00,1566.22,1 - Lightning,6,173,Jun
1378,2008,2008-06-21 00:00:00,2192.96,1 - Lightning,6,173,Jun
1379,2008,2008-06-21 00:00:00,3041.954,1 - Lightning,6,173,Jun
1381,2008,2008-06-21 00:00:00,1182.067,1 - Lightning,6,173,Jun
1388,2008,2008-06-21 00:00:00,6323.498,1 - Lightning,6,173,Jun
1387,2008,2008-06-21 00:00:00,32023.89,1 - Lightning,6,173,Jun
1383,2008,2008-06-21 00:00:00,1640.779,1 - Lightning,6,173,Jun
1390,2008,2008-06-21 00:00:00,31932.87,1 - Lightning,6,173,Jun
1366,2008,2008-06-21 00:00:00,4904.737,1 - Lightning,6,173,Jun
1368,2008,2008-06-21 00:00:00,13126.68,1 - Lightning,6,173,Jun
1386,2008,2008-06-21 00:00:00,24876.34,1 - Lightning,6,173,Jun
1393,2008,2008-06-21 00:00:00,12401.95,1 - Lightning,6,173,Jun
1400,2008,2008-06-21 00:00:00,13511.76,1 - Lightning,6,173,Jun
1354,2008,2008-06-21 00:00:00,168.3676,1 - Lightning,6,173,Jun
1353,2008,2008-06-21 00:00:00,1165.431,1 - Lightning,6,173,Jun
1577,2011,2011-06-22 00:00:00,108.0505,14 - Unknown / Unidentified,6,173,Jun
1352,2008,2008-06-21 00:00:00,2416.797,1 - Lightning,6,173,Jun
1401,2008,2008-06-21 00:00:00,788.7921,1 - Lightning,6,173,Jun
1348,2008,2008-06-21 00:00:00,11090.15,1 - Lightning,6,173,Jun
1349,2008,2008-06-21 00:00:00,9219.731,1 - Lightning,6,173,Jun
1429,2009,2009-06-22 00:00:00,689.9021,11 - Powerline,6,173,Jun
1351,2008,2008-06-21 00:00:00,309.1754,1 - Lightning,6,173,Jun
1350,2008,2008-06-21 00:00:00,580.6381,1 - Lightning,6,173,Jun
1207,2007,2007-06-23 00:00:00,481.78,5 - Debris,6,174,Jun
94,2017,2017-06-23 00:00:00,356.9353,5 - Debris,6,174,Jun
1421,2009,2009-06-23 00:00:00,169.8183,9 - Miscellaneous,6,174,Jun
1238,2007,2007-06-23 00:00:00,3069.805,4 - Campfire,6,174,Jun
1389,2008,2008-06-22 00:00:00,14544.0,1 - Lightning,6,174,Jun
325,1915,1915-06-23 00:00:00,118.8507,14 - Unknown / Unidentified,6,174,Jun
1930,2015,2015-06-23 00:00:00,14253.95,4 - Campfire,6,174,Jun
1382,2008,2008-06-22 00:00:00,980.283,1 - Lightning,6,174,Jun
1380,2008,2008-06-22 00:00:00,948.7195,1 - Lightning,6,174,Jun
1293,2008,2008-06-22 00:00:00,210.6067,4 - Campfire,6,174,Jun
1316,2008,2008-06-22 00:00:00,4657.563,1 - Lightning,6,174,Jun
1300,2008,2008-06-22 00:00:00,11173.0,10 - Vehicle,6,174,Jun
1858,2015,2015-06-24 00:00:00,364.396,14 - Unknown / Unidentified,6,175,Jun
114,2017,2017-06-24 00:00:00,15833.21,1 - Lightning,6,175,Jun
1972,2016,2016-06-23 00:00:00,48008.35,14 - Unknown / Unidentified,6,175,Jun
1612,2011,2011-06-24 00:00:00,129.6425,10 - Vehicle,6,175,Jun
1611,2011,2011-06-24 00:00:00,380.589,10 - Vehicle,6,175,Jun
1431,2009,2009-06-24 00:00:00,277.9886,10 - Vehicle,6,175,Jun
1430,2009,2009-06-24 00:00:00,188.3855,15 - Structure,6,175,Jun
1305,2008,2008-06-23 00:00:00,2067.143,1 - Lightning,6,175,Jun
1181,2006,2006-06-25 00:00:00,170.5343,7 - Arson,6,176,Jun
1104,2006,2006-06-25 00:00:00,4393.104,1 - Lightning,6,176,Jun
64,2017,2017-06-25 00:00:00,759.7584,7 - Arson,6,176,Jun
26,2017,2017-06-25 00:00:00,269.1116,11 - Powerline,6,176,Jun
356,1916,1916-06-24 00:00:00,127.0033,14 - Unknown / Unidentified,6,176,Jun
1185,2006,2006-06-25 00:00:00,2919.262,1 - Lightning,6,176,Jun
1738,2013,2013-06-25 00:00:00,117.7576,14 - Unknown / Unidentified,6,176,Jun
1020,1994,1994-06-25 00:00:00,3487.831,4 - Campfire,6,176,Jun
1010,1990,1990-06-25 00:00:00,321.4325,9 - Miscellaneous,6,176,Jun
1988,2016,2016-06-24 00:00:00,641.2314,9 - Miscellaneous,6,176,Jun
1184,2006,2006-06-25 00:00:00,512.3259,1 - Lightning,6,176,Jun
1126,2006,2006-06-26 00:00:00,537.4158,1 - Lightning,6,177,Jun
1133,2006,2006-06-26 00:00:00,1053.402,1 - Lightning,6,177,Jun
1150,2006,2006-06-26 00:00:00,193.5323,2 - Equipment Use,6,177,Jun
1134,2006,2006-06-26 00:00:00,460.6421,1 - Lightning,6,177,Jun
1585,2011,2011-06-26 00:00:00,568.4095,10 - Vehicle,6,177,Jun
1980,2016,2016-06-25 00:00:00,1246.319,10 - Vehicle,6,177,Jun
86,2017,2017-06-26 00:00:00,6303.659,10 - Vehicle,6,177,Jun
1101,2006,2006-06-26 00:00:00,3751.389,1 - Lightning,6,177,Jun
1098,2006,2006-06-26 00:00:00,1304.424,1 - Lightning,6,177,Jun
135,2017,2017-06-26 00:00:00,1594.034,1 - Lightning,6,177,Jun
12,2017,2017-06-26 00:00:00,1645.591,10 - Vehicle,6,177,Jun
1474,2009,2009-06-26 00:00:00,409.0049,9 - Miscellaneous,6,177,Jun
876,1956,1956-06-25 00:00:00,377.1027,14 - Unknown / Unidentified,6,177,Jun
1187,2006,2006-06-26 00:00:00,1246.917,1 - Lightning,6,177,Jun
